Timestamp, COUNTER_MEMS, INTERPOLATED_MEMS, Q0, Q1, Q2, Q3, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ
1752427283.6511, 25, 0, 0.818935, 0.109375, 0.53125, -0.1875, 1.000015, 0.125002, -0.187503, -76.563667, -21.305464, 38.281834
1752427283.6668, 26, 0, 0.486136, 0.4375, 0.46875, -0.59375, 1.000015, 0.156252, -0.187503, -76.563667, -19.174917, 38.281834
1752427283.6824, 27, 0, 0.986728, -0.03125, 0.15625, 0.03125, 1.000015, 0.125002, -0.218753, -76.563667, -21.085609, 38.281834
1752427283.698, 28, 0, 0.969506, -0.078125, 0.21875, 0.078125, 1.000015, 0.125002, -0.187503, -76.563667, -18.977049, 38.281834
1752427283.7136, 29, 0, 0.938541, -0.03125, 0.34375, 0, 1.000015, 0.125002, -0.218753, -76.563667, -20.907526, 38.281834
1752427283.7293, 30, 0, 0.767218, 0.25, 0.46875, -0.359375, 1.000015, 0.125002, -0.187503, -76.563667, -22.644958, 38.281834
1752427283.7449, 31, 0, 0.73004, 0.1875, 0.578125, -0.3125, 1.000015, 0.125002, -0.187503, -76.563667, -24.208645, 38.281834
1752427283.7605, 32, 0, 0.557924, 0.375, 0.515625, -0.53125, 1.000015, 0.156252, -0.187503, -76.563667, -25.615965, 38.281834
1752427283.7761, 33, 0, 0.924387, -0.0625, 0.375, 0.03125, 1.000015, 0.125002, -0.187503, -76.563667, -23.054367, 38.281834
1752427283.7918, 34, 0, 0.73004, 0.1875, 0.578125, -0.3125, 1.000015, 0.125002, -0.187503, -76.563667, -20.748932, 38.281834
1752427283.8074, 35, 0, 0.924387, -0.0625, 0.375, 0.03125, 1.000015, 0.125002, -0.187503, -76.563667, -18.674038, 38.281834
1752427283.823, 36, 0, 0.760827, 0.203125, 0.53125, -0.3125, 1.000015, 0.156252, -0.187503, -76.563667, -16.806635, 38.281834
1752427283.8386, 37, 0, 0.582333, 0.359375, 0.515625, -0.515625, 0.968765, 0.156252, -0.187503, -76.563667, -15.125971, 38.281834
1752427283.8543, 38, 0, 0.872485, -0.0625, 0.484375, 0.015625, 1.000015, 0.125002, -0.187503, -76.563667, -13.613374, 38.281834
1752427283.8699, 39, 0, 0.599886, 0.390625, 0.453125, -0.53125, 1.000015, 0.156252, -0.187503, -76.563667, -12.252036, 38.281834
1752427283.8855, 40, 0, 0.864615, -0.046875, 0.5, -0.015625, 1.000015, 0.125002, -0.187503, -76.563667, -14.855016, 38.281834
1752427283.9011, 41, 0, 0.546652, 0.40625, 0.46875, -0.5625, 1.000015, 0.156252, -0.187503, -76.563667, -17.197699, 38.281834
1752427283.9168, 42, 0, 0.931884, -0.046875, 0.359375, 0.015625, 0.968765, 0.125002, -0.187503, -76.563667, -19.306112, 38.281834
1752427283.9324, 43, 0, 0.806165, 0.171875, 0.5, -0.265625, 1.000015, 0.125002, -0.218753, -76.563667, -21.203684, 38.281834
1752427283.948, 44, 0, 0.560108, 0.390625, 0.484375, -0.546875, 1.000015, 0.156252, -0.187503, -76.563667, -22.911499, 38.281834
1752427283.9636, 45, 0, 0.953253, -0.046875, 0.296875, 0.03125, 1.000015, 0.156252, -0.187503, -76.563667, -20.620348, 38.281834
1752427283.9793, 46, 0, 0.902741, 0.03125, 0.421875, -0.078125, 0.968765, 0.156252, -0.187503, -76.563667, -22.386497, 38.281834
1752427283.9949, 47, 0, 0.573248, 0.390625, 0.46875, -0.546875, 0.968765, 0.156252, -0.218753, -76.563667, -23.97603, 38.281834
1752427284.0105, 48, 0, 0.904362, -0.0625, 0.421875, 0.015625, 1.000015, 0.156252, -0.218753, -76.563667, -25.40661, 38.281834
1752427284.0261, 49, 0, 0.661991, 0.296875, 0.53125, -0.4375, 1.000015, 0.125002, -0.218753, -76.563667, -26.694134, 38.281834
1752427284.0418, 50, 0, 0.734042, 0.125, 0.625, -0.234375, 1.000015, 0.156252, -0.218753, -76.563667, -27.852903, 38.281834
1752427284.0574, 51, 0, 0.681615, 0.40625, 0.296875, -0.53125, 1.000015, 0.125002, -0.187503, -76.563667, -25.067614, 38.281834
1752427284.073, 52, 0, 0.790878, 0.046875, 0.59375, -0.140625, 0.968765, 0.156252, -0.187503, -76.563667, -22.560852, 38.281834
1752427284.0886, 53, 0, 0.715345, 0.375, 0.3125, -0.5, 1.000015, 0.156252, -0.187503, -76.563667, -20.304768, 38.281834
1752427284.1043, 54, 0, 0.75745, 0.078125, 0.625, -0.171875, 1.000015, 0.156252, -0.187503, -76.563667, -18.27429, 38.281834
1752427284.1199, 55, 0, 0.826059, 0.3125, 0.234375, -0.40625, 0.968765, 0.156252, -0.187503, -76.563667, -16.446861, 38.281834
1752427284.1355, 56, 0, 0.752275, 0.234375, 0.5, -0.359375, 1.000015, 0.156252, -0.218753, -76.563667, -14.802175, 38.281834
1752427284.1511, 57, 0, 0.741982, 0.125, 0.609375, -0.25, 1.000015, 0.156252, -0.187503, -76.563667, -13.321958, 38.281834
1752427284.1668, 58, 0, 0.622456, 0.421875, 0.34375, -0.5625, 1.000015, 0.156252, -0.187503, -76.563667, -11.989761, 38.281834
1752427284.1824, 59, 0, 0.919887, -0.015625, 0.390625, -0.03125, 1.000015, 0.156252, -0.218753, -76.563667, -14.618969, 38.281834
1752427284.198, 60, 0, 0.764987, 0.203125, 0.515625, -0.328125, 0.968765, 0.156252, -0.187503, -76.563667, -13.157072, 38.281834
1752427284.2136, 61, 0, 0.638334, 0.296875, 0.546875, -0.453125, 1.000015, 0.156252, -0.218753, -76.563667, -15.669548, 38.281834
1752427284.2293, 62, 0, 0.772766, 0.015625, 0.625, -0.109375, 1.000015, 0.156252, -0.187503, -76.563667, -14.102593, 38.281834
1752427284.2449, 63, 0, 0.991418, 0.078125, 0.046875, -0.09375, 1.000015, 0.156252, -0.218753, -76.563667, -16.520517, 38.281834
1752427284.2605, 0, 0, 0.976531, 0.140625, 0.046875, -0.15625, 1.000015, 0.156252, -0.187503, -76.563667, -18.69665, 38.281834
1752427284.2761, 1, 0, 0.950688, 0.1875, 0.078125, -0.234375, 0.968765, 0.125002, -0.187503, -76.563667, -20.655169, 38.281834
1752427284.2918, 2, 0, 0.991418, 0.078125, 0.046875, -0.09375, 1.000015, 0.156252, -0.218753, -76.563667, -18.589651, 38.281834
1752427284.3074, 3, 0, 0.950688, 0.1875, 0.078125, -0.234375, 0.968765, 0.125002, -0.187503, -76.563667, -20.558868, 38.281834
