Timestamp, COUNTER_MEMS, INTERPOLATED_MEMS, Q0, Q1, Q2, Q3, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ
Timestamp, act, pow
1752439943.0007, 24, 0, 0.600121, 0.390198, -0.587524, 0.37738, 1.004029, 0.024417, 0.003418, 15.919777, 38.989417, 17.563169
1752439943.0164, 25, 0, 0.600025, 0.390076, -0.587585, 0.377563, 1.004029, 0.024417, 0.003418, 15.944466, 38.857142, 17.506852
1752439943.0321, 26, 0, 0.600165, 0.389893, -0.587524, 0.377625, 0.996215, 0.03223, 0.007325, 15.916686, 38.954761, 17.572833
1752439943.0476, 27, 0, 0.600206, 0.389771, -0.587524, 0.377686, 1.007936, 0.036626, 0.014162, 15.841684, 38.859285, 17.56555
1752439943.0631, neutral, 0
1752439943.0631, 28, 0, 0.600265, 0.389832, -0.587463, 0.377625, 1.019656, 0.033696, 0.016115, 15.824183, 38.790023, 17.592328
1752439943.0787, 29, 0, 0.600265, 0.389832, -0.587463, 0.377625, 1.011842, 0.022952, 0.00879, 15.858431, 38.927687, 17.649762
1752439943.0944, 30, 0, 0.600343, 0.389771, -0.587463, 0.377563, 0.997192, 0.030765, 0.013185, 15.872588, 38.918252, 17.718119
1752439943.1101, 31, 0, 0.600343, 0.389771, -0.587463, 0.377563, 1.004029, 0.019534, 0.007813, 15.801996, 39.026427, 17.696307
1752439943.1258, 32, 0, 0.600343, 0.389771, -0.587463, 0.377563, 0.989379, 0.028812, 0.001953, 15.60513, 39.007117, 17.76001
1752439943.1413, 33, 0, 0.600476, 0.389709, -0.587524, 0.377319, 1.000122, 0.033207, 0.000977, 15.744617, 39.089739, 17.717342
1752439943.1568, 34, 0, 0.600418, 0.389832, -0.587463, 0.37738, 1.000122, 0.033207, 0.000977, 15.886822, 39.214098, 17.745608
1752439943.1724, 35, 0, 0.600438, 0.389893, -0.587402, 0.37738, 0.998657, 0.031254, 0.00586, 15.864806, 39.192689, 17.754381
1752439943.188, 36, 0, 0.600437, 0.389954, -0.587402, 0.377319, 1.004517, 0.041021, 0.004883, 15.794992, 39.156753, 17.612276
1752439943.188, neutral, 0
1752439943.2036, 37, 0, 0.600439, 0.390076, -0.58728, 0.37738, 1.009889, 0.042974, 0.00293, 15.765493, 39.157744, 17.651048
1752439943.2193, 38, 0, 0.600301, 0.390137, -0.587341, 0.377441, 0.984495, 0.026859, 0.004395, 15.65561, 39.19197, 17.685943
1752439943.235, 39, 0, 0.600301, 0.390137, -0.587341, 0.377441, 1.00354, 0.024417, -0.006348, 15.723383, 39.072773, 17.634016
1752439943.2505, 40, 0, 0.600283, 0.390198, -0.58728, 0.377502, 1.007447, 0.028324, 0.00879, 15.634378, 39.148829, 17.603948
1752439943.2661, 41, 0, 0.600206, 0.390381, -0.587158, 0.377625, 1.010377, 0.022952, 0.009278, 15.47094, 39.250613, 17.493553
1752439943.2817, 42, 0, 0.600206, 0.390381, -0.587158, 0.377625, 1.010377, 0.022952, 0.009278, 15.440513, 39.125552, 17.494198
1752439943.2973, 43, 0, 0.600148, 0.390503, -0.587097, 0.377686, 1.007447, 0.025882, 0.015139, 15.546461, 39.19633, 17.478111
1752439943.3129, neutral, 0
1752439943.3129, 44, 0, 0.60013, 0.390747, -0.586914, 0.377747, 1.001587, 0.027347, -0.000488, 15.625149, 39.16003, 17.363633
1752439943.3286, 45, 0, 0.600053, 0.39093, -0.586792, 0.377869, 1.000122, 0.033696, 0.010743, 15.745967, 39.160694, 17.22727
1752439943.3441, 46, 0, 0.600073, 0.390991, -0.586731, 0.377869, 0.991332, 0.03223, 0.002442, 15.738037, 39.261291, 17.354543
1752439943.3598, 47, 0, 0.599974, 0.391052, -0.586792, 0.377869, 1.002564, 0.02637, 0.005372, 15.5309, 39.351829, 17.402422
1752439943.3756, 48, 0, 0.600092, 0.391113, -0.58667, 0.377808, 1.000122, 0.027347, -0.001465, 15.444477, 39.416646, 17.41218
1752439943.3913, 49, 0, 0.599995, 0.391235, -0.586609, 0.37793, 0.993774, 0.035161, 0.007813, 15.500029, 39.558314, 17.304295
1752439943.407, 50, 0, 0.599938, 0.391479, -0.586426, 0.378052, 0.995239, 0.026859, 0.007813, 15.516693, 39.452483, 17.390532
1752439943.4225, 51, 0, 0.599995, 0.391418, -0.586487, 0.37793, 0.995239, 0.026859, 0.007813, 15.415023, 39.490568, 17.434812
1752439943.438, neutral, 0
1752439943.438, 52, 0, 0.599955, 0.391479, -0.586487, 0.37793, 1.000122, 0.037114, 0.004395, 15.323521, 39.524845, 17.474665
1752439943.4535, 53, 0, 0.600012, 0.391418, -0.586548, 0.377808, 1.014284, 0.02637, 0.004395, 15.357836, 39.389027, 17.510531
1752439943.4691, 54, 0, 0.599937, 0.391541, -0.586426, 0.377991, 1.012819, 0.023929, 0.002442, 15.422052, 39.450124, 17.392812
1752439943.4846, 55, 0, 0.599974, 0.391418, -0.586548, 0.377869, 1.00354, 0.025394, 0.00586, 15.496514, 39.438445, 17.586864
1752439943.5003, 56, 0, 0.600031, 0.391357, -0.586609, 0.377747, 1.005494, 0.028812, 0.008302, 15.580196, 39.244601, 17.511511
1752439943.5158, 57, 0, 0.600012, 0.391418, -0.586548, 0.377808, 1.009401, 0.025394, 0.011232, 15.655509, 39.32014, 17.477026
1752439943.5314, 58, 0, 0.599934, 0.391479, -0.586548, 0.377869, 1.004029, 0.033207, 0.002442, 15.689958, 39.27146, 17.412657
1752439943.5469, 59, 0, 0.599954, 0.391541, -0.586487, 0.377869, 0.999145, 0.029789, -0.00293, 15.654296, 39.194314, 17.404725
1752439943.5625, neutral, 0
1752439943.5625, 60, 0, 0.599952, 0.391602, -0.586487, 0.377808, 0.999145, 0.029789, -0.00293, 15.638866, 39.074882, 17.380919
1752439943.5782, 61, 0, 0.600089, 0.391602, -0.586426, 0.377686, 1.002564, 0.045416, 0.00879, 15.62498, 39.117394, 17.392827
1752439943.5939, 62, 0, 0.600049, 0.391663, -0.586426, 0.377686, 1.005494, 0.040044, 0.008302, 15.612482, 39.038988, 17.453544
1752439943.6096, 63, 0, 0.600106, 0.391602, -0.586487, 0.377563, 1.005494, 0.03223, 0.000977, 15.5179, 38.968423, 17.50819
1752439943.6253, 0, 0, 0.600201, 0.391541, -0.586548, 0.37738, 1.008424, 0.034184, 0.005372, 15.532777, 38.92158, 17.657371
1752439943.6408, 1, 0, 0.60024, 0.391357, -0.58667, 0.377319, 1.002075, 0.022464, -0.001465, 15.529499, 38.979422, 17.691634
1752439943.6565, 2, 0, 0.600278, 0.391357, -0.58667, 0.377258, 1.002564, 0.019045, 0.015627, 15.526549, 39.03148, 17.72247
1752439943.6722, 3, 0, 0.600304, 0.391174, -0.586609, 0.377502, 1.002564, 0.025394, 0.010743, 15.490561, 39.044999, 17.66689
1752439943.6879, neutral, 0
1752439943.6879, 4, 0, 0.600365, 0.391113, -0.586548, 0.377563, 1.002564, 0.025394, 0.010743, 15.424838, 39.073832, 17.633534
1752439943.7036, 5, 0, 0.600249, 0.391296, -0.586426, 0.377747, 1.003052, 0.036137, 0.006837, 15.399021, 39.116449, 17.470181
1752439943.7191, 6, 0, 0.600171, 0.391357, -0.586426, 0.377808, 1.002564, 0.023929, 0.003418, 15.409119, 39.038137, 17.406496
1752439943.7348, 7, 0, 0.600171, 0.391357, -0.586426, 0.377808, 0.998657, 0.0293, 0.008302, 15.40154, 38.95099, 17.39918
1752439943.7506, 8, 0, 0.600231, 0.391357, -0.586365, 0.377808, 1.011354, 0.015139, 0.003418, 15.328053, 38.972558, 17.459262
1752439943.7663, 9, 0, 0.600134, 0.391479, -0.586304, 0.37793, 1.019167, 0.035649, 0.010255, 15.245248, 39.008636, 17.296669
1752439943.782, 10, 0, 0.600152, 0.391602, -0.586243, 0.377869, 1.003052, 0.050787, 0.003907, 15.28739, 38.757772, 17.267002
1752439943.7975, 11, 0, 0.600192, 0.391541, -0.586243, 0.377869, 1.006471, 0.039067, 0.001953, 15.308651, 38.765328, 17.290302
1752439943.813, neutral, 0
1752439943.813, 12, 0, 0.600134, 0.391663, -0.586182, 0.37793, 1.00061, 0.041509, 0.007325, 15.427786, 38.955462, 17.094605
1752439943.8285, 13, 0, 0.599998, 0.391968, -0.585999, 0.378113, 1.00061, 0.041509, 0.007325, 15.435007, 38.976582, 17.135145
1752439943.8441, 14, 0, 0.600016, 0.39209, -0.585938, 0.378052, 1.015749, 0.041997, -0.001465, 15.491506, 39.028924, 17.22163
1752439943.8598, 15, 0, 0.600055, 0.39209, -0.585938, 0.377991, 1.00061, 0.031254, 0.009767, 15.542356, 39.076032, 17.299467
1752439943.8755, 16, 0, 0.599998, 0.392151, -0.585876, 0.378113, 0.999634, 0.025882, 0.00879, 15.454787, 39.085095, 17.252854
1752439943.891, 17, 0, 0.600016, 0.39209, -0.585938, 0.378052, 1.005494, 0.01758, 0, 15.292641, 39.126586, 17.327568
1752439943.9065, 18, 0, 0.600018, 0.392029, -0.585938, 0.378113, 1.006471, 0.018557, 0.016604, 15.296711, 39.19726, 17.378145
1752439943.922, 19, 0, 0.600076, 0.39209, -0.585876, 0.378052, 1.011842, 0.041021, -0.006348, 15.283706, 39.227534, 17.356997
1752439943.9376, neutral, 0
1752439943.9376, 20, 0, 0.600077, 0.392212, -0.585754, 0.378113, 1.005005, 0.042974, 0.003907, 15.288669, 39.154781, 17.271297
1752439943.9531, 21, 0, 0.600134, 0.392151, -0.585815, 0.377991, 0.999145, 0.042486, 0.012697, 15.459802, 39.05597, 17.444168
1752439943.9688, 22, 0, 0.600211, 0.392151, -0.585815, 0.377869, 0.999145, 0.042486, 0.012697, 15.297155, 39.067039, 17.383084
1752439943.9845, 23, 0, 0.600249, 0.392151, -0.585815, 0.377808, 1.005005, 0.038579, -0.003907, 15.384106, 39.093669, 17.494776
1752439944, 24, 0, 0.600269, 0.392212, -0.585754, 0.377808, 0.995727, 0.031254, 0.007813, 15.362362, 39.267635, 17.461965
1752439944.0156, 25, 0, 0.600095, 0.392334, -0.585693, 0.378052, 1.007447, 0.015627, 0.004883, 15.476126, 39.107538, 17.332435
1752439944.0312, 26, 0, 0.600076, 0.392395, -0.585632, 0.378113, 1.010866, 0.036137, 0.012209, 15.39518, 39.146784, 17.515858
1752439944.0468, 27, 0, 0.600135, 0.392273, -0.585693, 0.378052, 0.997192, 0.025882, 0.011232, 15.422329, 39.082106, 17.464272
1752439944.0625, 28, 0, 0.600156, 0.392273, -0.585632, 0.378113, 1.012331, 0.041997, 0.006837, 15.430096, 39.057229, 17.551178
1752439944.0625, neutral, 0
1752439944.0782, 29, 0, 0.600213, 0.392212, -0.585693, 0.377991, 0.998657, 0.023929, 0.001465, 15.437086, 39.034839, 17.629394
1752439944.0938, 30, 0, 0.600176, 0.392151, -0.585693, 0.378113, 0.998657, 0.023929, 0.001465, 15.410044, 39.164689, 17.699788
1752439944.1093, 31, 0, 0.600195, 0.39209, -0.585754, 0.378052, 1.015749, 0.028812, 0.01465, 15.435707, 39.264886, 17.629809
1752439944.1251, 32, 0, 0.600176, 0.392151, -0.585693, 0.378113, 0.995727, 0.0293, 0.004395, 15.375469, 39.271731, 17.566828
1752439944.1408, 33, 0, 0.600214, 0.392029, -0.585815, 0.377991, 1.016237, 0.022464, 0.003907, 15.587922, 39.194558, 17.660145
1752439944.1565, 34, 0, 0.600292, 0.391968, -0.585815, 0.37793, 1.015261, 0.024905, 0.002442, 15.47913, 39.125102, 17.594131
1752439944.1722, 35, 0, 0.600194, 0.392151, -0.585754, 0.377991, 1.006471, 0.045416, 0.004395, 15.447884, 39.379259, 17.551384
1752439944.1877, neutral, 0
1752439944.1877, 36, 0, 0.600017, 0.392395, -0.585693, 0.378113, 0.989867, 0.040044, -0.000977, 15.453095, 39.241333, 17.596246
1752439944.2032, 37, 0, 0.600015, 0.392456, -0.585693, 0.378052, 1.005494, 0.028812, 0.003418, 15.441119, 39.1672, 17.536621
1752439944.2188, 38, 0, 0.599975, 0.392517, -0.585693, 0.378052, 0.991332, 0.027347, 0.007813, 15.297007, 39.183813, 17.632959
1752439944.2343, 39, 0, 0.600054, 0.392456, -0.585693, 0.377991, 0.991332, 0.027347, 0.007813, 15.15064, 39.182098, 17.669663
1752439944.2498, 40, 0, 0.600054, 0.392456, -0.585693, 0.377991, 1.002075, 0.033207, 0.005372, 15.168909, 39.197222, 17.719364
1752439944.2655, 41, 0, 0.600073, 0.392395, -0.585754, 0.37793, 1.009889, 0.025394, 0.000488, 15.185352, 39.260833, 17.764094
1752439944.2812, 42, 0, 0.600073, 0.392395, -0.585754, 0.37793, 1.008912, 0.028324, -0.001953, 15.15015, 39.268083, 17.721018
1752439944.2967, 43, 0, 0.60011, 0.392273, -0.585876, 0.377808, 0.998169, 0.020999, 0.00293, 15.268468, 39.257941, 17.832249
1752439944.3123, neutral, 0
1752439944.3123, 44, 0, 0.60009, 0.392212, -0.585938, 0.377808, 0.998657, 0.027835, 0.012697, 15.308288, 39.265481, 17.832358
1752439944.328, 45, 0, 0.600035, 0.392212, -0.585876, 0.377991, 1.014284, 0.019534, 0.012697, 15.310793, 39.272266, 17.699122
1752439944.3435, 46, 0, 0.600137, 0.392029, -0.585815, 0.378113, 1.007447, 0.028812, 0.004883, 15.313047, 39.361706, 17.712543
1752439944.3592, 47, 0, 0.60012, 0.392029, -0.585754, 0.378235, 1.008912, 0.020022, -0.001953, 15.248409, 39.508869, 17.624622
1752439944.3749, 48, 0, 0.600121, 0.391968, -0.585754, 0.378296, 1.008912, 0.020022, -0.001953, 15.340234, 39.541315, 17.645493
1752439944.3904, 49, 0, 0.600121, 0.391968, -0.585754, 0.378296, 1.013307, 0.032719, 0.003907, 15.372878, 39.520517, 17.664277
1752439944.406, 50, 0, 0.600083, 0.391968, -0.585754, 0.378357, 1.004029, 0.02637, 0.009767, 15.23559, 39.551799, 17.54785
1752439944.4218, 51, 0, 0.600102, 0.392029, -0.585693, 0.378357, 0.993774, 0.041509, 0.006348, 15.228698, 39.479952, 17.593065
1752439944.4375, 52, 0, 0.600121, 0.391968, -0.585754, 0.378296, 0.99182, 0.022952, 0.010255, 15.305828, 39.481957, 17.633758
1752439944.4375, lift, 0.399322
1752439944.4532, 53, 0, 0.600294, 0.391724, -0.585938, 0.377991, 1.006959, 0.037602, 0.007325, 15.308578, 39.517094, 17.653716
1752439944.4687, 54, 0, 0.600294, 0.391724, -0.585938, 0.377991, 1.00354, 0.023929, 0.003418, 15.244387, 39.448718, 17.605011
1752439944.4842, 55, 0, 0.600392, 0.391724, -0.585876, 0.37793, 1.006959, 0.024417, 0.005372, 15.286615, 39.270513, 17.661176
1752439944.4999, 56, 0, 0.600389, 0.391663, -0.585999, 0.377808, 1.005982, 0.015627, 0.007325, 15.32462, 39.110129, 17.711725
1752439944.5157, 57, 0, 0.600314, 0.391785, -0.585876, 0.377991, 1.005982, 0.015627, 0.007325, 15.475492, 39.115782, 17.540553
1752439944.5314, 58, 0, 0.600332, 0.391724, -0.585938, 0.37793, 1.007447, 0.015627, 0.009278, 15.527942, 39.004204, 17.503164
1752439944.5471, 59, 0, 0.600351, 0.391663, -0.585999, 0.377869, 1.009889, 0.03223, 0.002442, 15.458482, 38.953784, 17.536181
1752439944.5628, lift, 0.502753
1752439944.5628, 60, 0, 0.600351, 0.391663, -0.585999, 0.377869, 1.001587, 0.022952, 0.00879, 15.3793, 39.058405, 17.582563
1752439944.5783, 61, 0, 0.600448, 0.391541, -0.58606, 0.377747, 1.008912, 0.026859, -0.002442, 15.374703, 39.085898, 17.724307
1752439944.5938, 62, 0, 0.600505, 0.391479, -0.586121, 0.377625, 1.006959, 0.027347, 0.009767, 15.237233, 39.243975, 17.851876
